Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,54,30.52350587327863,53
55,144,16.953689440668416,141
54,79,14.243211090519424,62
53,30,14.48682583220156,29
52,24,17.869498168533056,20
51,116,15.304974217983785,111
50,95,16.221970137597932,23
49,143,18.37922998950164,3
48,147,13.190291615961982,12
47,217,,
46,171,43.19975637938924,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,13.496870612101977,3
37,7,8.957653955406212,6
36,26,16.506297185811096,25
35,6,,
34,13,3.65359323279443,4
33,16,19.053128446443726,1
32,10,9.138016435268186,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
