Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,46,37.095310736222224,45
55,155,4.994112068472222,144
54,70,0.8079783607142861,56
53,36,0.3797762210344823,29
52,27,1.7903377999999992,23
51,116,1.4009479824561406,114
50,91,0.41088537727272795,22
49,144,0.17925843333333324,3
48,149,0.7291016285714286,14
47,215,,
46,171,74.35466,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,13,0.24913937499999994,4
33,16,0.7191820000000018,1
32,12,0.9203598428571427,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
