Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,49,24.292629957737088,48
55,153,10.463622729492885,145
54,71,57.232689891060346,58
53,34,3.0805640406148824,29
52,29,5.602866398210118,25
51,113,,
50,88,11.870822003488788,18
49,148,46.48916273266591,3
48,146,17.989282198466302,11
47,218,,
46,171,44.730359069264324,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,329627.03362076136,1
37,6,,
36,27,421305.1521768262,26
35,5,,
34,13,10651173.50858227,4
33,16,163778.2220061612,1
32,12,4537646.782138908,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
