Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,53,,
55,146,6.657613526721913,143
54,69,2.9284398253319797,54
53,40,2.623933123646129,31
52,24,5.230664083381349,22
51,116,3.5069201776259837,113
50,93,3.772316940287401,23
49,142,1.758071909526234,2
48,147,4.151343965951386,11
47,218,,
46,171,28.252315330256238,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,5.666646695788432,3
38,1,,
37,5,,
36,28,5.974611341360434,26
35,5,,
34,12,8.49611507955582,3
33,17,1.2108906052114676,1
32,11,3.3081364469107486,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
