Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,54,14.823500625094342,53
55,146,4.267640365664335,143
54,70,0.7988399618181816,55
53,39,0.3470748522580644,31
52,25,0.5872085521739128,23
51,109,1.3836638691588787,107
50,99,0.574347091304349,23
49,143,0.17925843333333327,3
48,147,0.22119235833333356,12
47,217,,
46,171,47.49301,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,13,0.08143829249999976,4
33,16,0.28062299999999674,1
32,12,0.19350547571428547,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
