Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,53,36.19652421025849,51
55,147,11.005482106424626,142
54,74,6.8732594282113695,58
53,37,3.606250186782429,32
52,23,5.099676008510539,22
51,114,4.503210762326419,111
50,93,3.3094970443257004,21
49,145,9.74142778719467,3
48,147,3.4256615628842697,12
47,217,,
46,171,14.57929948913312,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,5.085574515761526,26
35,5,,
34,12,8.731171017412382,3
33,17,0.2276173524517482,1
32,11,8.547126702888374,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
