Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,52,,
55,141,4.174728486351614,137
54,77,2.597434327707966,56
53,38,2.743292234617189,31
52,25,6.3934178952502405,23
51,120,2.74361544827407,118
50,85,2.6912606582682455,20
49,144,6.070312050505098,1
48,150,1.3806948288615435,13
47,216,,
46,171,38.03165015483461,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,3.6793444033717364,1
37,5,,
36,27,8.562214586718577,25
35,6,,
34,13,5.212609915960003,4
33,16,1.7428818468035878,1
32,12,5.063761294356283,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
