Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,53,24.778850914736772,52
55,148,3.6210896041199834,144
54,70,2.833579043878985,56
53,34,4.597500949695985,27
52,29,4.360670020746314,23
51,113,3.4770594076980363,111
50,95,3.3024584290663084,23
49,142,3.5121537411785386,2
48,150,1.9627747409086305,14
47,215,,
46,171,40.02953859441908,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,6.290295352638846,24
35,7,,
34,13,2.5487536976423724,4
33,16,1.7603732037460986,1
32,11,6.67251762620149,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
