Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,32.46605675932085,49
55,152,16.99810412281266,145
54,73,14.930481797696354,60
53,33,15.221186422014426,30
52,25,20.260797389515936,22
51,111,16.15219555841605,108
50,95,16.603477843136066,20
49,146,18.28123803592211,3
48,148,12.571163517618736,13
47,216,,
46,171,43.666804582530546,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,18.4360431515554,1
37,7,,
36,26,,
35,5,,
34,13,5.762548464527905,4
33,16,17.213380593390387,1
32,11,7.943477170019354,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
