Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,51,29.653914341350053,50
55,143,7.484845510471856,137
54,78,6.8033103313859185,57
53,37,2.268974661611564,31
52,25,9.500238210614434,23
51,116,302981208077.8268,114
50,91,20.813531570913288,22
49,143,77.26417779917438,2
48,150,80.88926856057373,14
47,215,,
46,171,239.85547863806886,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,476.5750872071984,6
36,27,488.796479294395,26
35,5,,
34,13,807.1482353029102,4
33,16,80.81706654944446,1
32,12,686.2314980749243,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
