Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,51,,
55,146,17.11444409286542,141
54,75,14.926817008322615,58
53,36,15.24010815439224,31
52,26,17.42206989255945,24
51,109,15.295814776657199,108
50,94,17.984031072357244,19
49,146,16.58406301361328,2
48,150,13.121775279152336,14
47,215,,
46,171,44.37813620948904,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,18.548733413311485,1
37,7,,
36,26,,
35,5,,
34,13,4.733045825568471,4
33,16,17.989006257821995,1
32,12,9.640766472012855,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
