Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,55,26.736131736714867,52
55,149,10.055050005913042,145
54,69,7.4710010372035365,56
53,35,5.735908074500508,28
52,25,5.493976709980654,20
51,123,8.902831484756412,118
50,85,7.693129843060251,20
49,145,4.0280280246924,2
48,150,4.38979085753533,14
47,215,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,6.212950041548068,24
35,7,,
34,13,3.907795120122727,4
33,16,4.561083286717372,1
32,11,5.3999552816499,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
