Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,51,,
55,145,3.221937431357143,140
54,73,0.6762801054545454,55
53,36,0.46115347428571407,28
52,27,1.7036775590909088,22
51,120,2.393291806837607,117
50,87,0.570745052380953,21
49,145,0.17008340000000005,3
48,148,0.09969417692307693,13
47,216,,
46,171,0.16435999999998785,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.0150030000000001,1
37,5,,
36,28,2.722788166153847,26
35,5,,
34,13,0.3590983499999999,4
33,16,0.2887940000000011,1
32,12,1.2395293042857138,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
