Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,52,,
55,139,13.481861253858627,135
54,80,6.39458935766014,57
53,37,6.383702887384054,31
52,25,7.963937929966466,23
51,116,7.689925959359569,114
50,90,4.381475649789781,21
49,145,4.779334643953055,3
48,148,5.639855069798611,13
47,216,,
46,171,19.979857590578092,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,3.0975252084132885,7
36,25,,
35,6,,
34,13,3.5623840097326522,4
33,16,4.463712754400149,1
32,12,10.33514595613489,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
