Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,52,21.795485724485907,51
55,146,29.142240331793737,141
54,76,149.24324339982536,59
53,33,5.759309836338787,29
52,27,37.853074550319036,23
51,112,22.554121849410002,110
50,94,5.472293869472376,21
49,144,24.187206928581688,2
48,149,20.20535897672281,13
47,216,,
46,171,157.1927982985181,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,7.690107907406087,1
37,7,,
36,26,,
35,5,,
34,13,22.041781691195972,4
33,16,9.145132948478182,1
32,12,15.409562866769205,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
