Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,22.663867379375432,49
55,155,25.68997449562385,148
54,69,49.00781062075979,59
53,34,6.246291413867858,30
52,23,3.707697836015411,20
51,111,10.339085860720248,106
50,99,27.28840509937602,22
49,143,69.62162029048505,2
48,148,105.07429198898555,12
47,217,,
46,171,112.7015395470693,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,28,582881.061222489,27
35,4,,
34,13,34914569.850524366,4
33,16,160321.2915390271,1
32,12,6386894.743312746,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
