Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,52,28.012118971153882,50
55,149,10.84307881871883,143
54,71,7.5395473761463485,56
53,36,4.091608908221803,29
52,25,10.327490655133005,21
51,120,4.708309983409946,116
50,89,5.795530981995512,22
49,144,10.865988797684492,3
48,147,2.2578720288380194,12
47,217,,
46,171,31.424250071685776,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,5.371707858091913,1
37,7,,
36,24,,
35,7,,
34,13,2.8292359009821997,4
33,16,2.6358067380346384,1
32,12,9.052694757103994,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
