Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,49,,
55,150,6.6231432719224586,143
54,71,2.9005486539449237,56
53,37,2.052550048389598,30
52,23,4.7000161933120195,20
51,120,3.963576057634888,115
50,89,3.14473022080622,21
49,145,3.2501804987337555,3
48,149,3.5797597108051473,14
47,215,,
46,171,24.937760772348213,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,2.473534751066623,1
37,6,,
36,26,6.444279566077359,25
35,6,,
34,13,6.929693801105785,4
33,16,2.432802024658958,1
32,11,3.3670165213967707,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
