Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,,
55,153,7.054356494737611,147
54,64,2.713500649385773,53
53,41,2.2152959030893573,31
52,25,5.393326429464801,23
51,114,4.065352804552576,112
50,89,3.3742521199046287,18
49,148,2.7190976661308657,3
48,147,4.014775824147995,12
47,217,,
46,171,28.75261380061238,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,1,,
38,3,1.422696342545926,1
37,7,,
36,27,,
35,4,,
34,13,7.640168821993672,4
33,15,,
32,13,5.664983275243034,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
