Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,49,,
55,151,7.093834973817143,144
54,69,3.205519605099557,55
53,40,2.530437281792042,32
52,22,5.469208636430063,21
51,115,3.7026488747791504,111
50,93,4.063002465272721,21
49,145,3.8225726315442894,3
48,148,3.530909490323626,13
47,216,,
46,171,30.967806569045905,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,5.8943650220001835,25
35,6,,
34,13,7.903595750550747,4
33,16,1.6141722891998924,1
32,12,5.600426299305051,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
