Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,54,21.03900804372549,51
55,150,16.62260747137931,145
54,66,16.08438609256221,53
53,42,16.727158232025168,32
52,24,22.21167034221014,23
51,115,20.348093752372584,113
50,92,13.044375184640732,22
49,144,22.044766801125633,3
48,146,16.706462172583183,11
47,218,,
46,171,158.95916436174505,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,32.61456095654389,25
35,6,,
34,13,21.04159271487211,4
33,15,,
32,13,14.62397185276493,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
