Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,54,,
55,136,14.73058811380597,134
54,79,6.5639934953672725,55
53,38,5.5347811913173315,30
52,28,13.694279257664,25
51,115,,
50,90,5.4352123769090905,22
49,144,1.7381013053333334,3
48,147,3.231753637666667,12
47,217,,
46,171,132.636722768,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,12.737239407999997,1
37,6,,
36,27,16.903329551611975,26
35,5,,
34,13,1.2239611080569601,4
33,16,6.050019860000003,1
32,11,3.9652690598027727,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
