Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,55,23.993201095000003,54
55,147,17.436220543444833,145
54,73,15.96471129307826,60
53,31,16.29481252575466,28
52,24,21.939499757513957,19
51,118,19.65013760218166,112
50,92,13.474759367273629,21
49,145,21.626672110671205,3
48,149,17.033042600065798,14
47,215,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,5.673923227921424,1
37,7,,
36,21,,
35,10,,
34,13,20.415138127738437,4
33,16,7.089704646699403,1
32,11,14.72857985695115,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
