Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,49,,
55,144,17.27762527546649,137
54,77,15.3313678663654,56
53,37,16.737335408621345,30
52,27,22.841435614290187,24
51,117,20.055431853978508,116
50,90,12.790983268672097,23
49,142,22.205971954598493,2
48,150,17.760943818875006,14
47,215,,
46,171,158.72408670971342,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,40.77725934588741,24
35,7,,
34,12,21.132887445633532,3
33,17,8.008711908502672,1
32,12,14.748653480472179,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
