Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
58,59,,
57,168,0.08676637391784467,156
56,101,0.15296501876061394,78
55,52,0.08840118111274675,49
54,29,0.07947118734634169,27
53,132,6.119756349556067,128
52,153,422.93248728956655,129
51,215,2.9143407985023426,199
50,198,0.9634314414961991,180
49,260,1.059889465239143,238
48,201,0.19414528797662153,173
47,56,3.4869111569336,42
46,1247,0.4235278333771622,1240
45,147,0.4411943493836597,12
44,610,,
43,71,1.1816002458652954,4
42.0,1.0,,
41.0,2.0,,
40,2,0.03895231836987655,1
39,10,0.30292900672249157,8
38.0,32.0,,
37,3,,
36,16,,
35,17,130.23285246650448,16
34,20,8.972495394372855,12
33,60,2.5125964790397313,31
32,8,1.1867337887223446,6
31,16,118.39274318423715,15
30,10,218.90257518570039,9
29,18,70.47780341786185,16
28,13,249.73821104368022,11
27,78,2.1924431125371022,77
26,9,249.4664215433388,3
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
