Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
58,67,0.5142376481057994,66
57,169,0.5706610739222882,163
56,90,0.6447125837462938,70
55,53,0.575768234101993,41
54,32,0.5679361233708491,22
53,142,4.509324452654569,122
52,149,4088942.7246156964,129
51,206,0.5722653621246613,190
50,202,0.6744006281809407,117
49,253,0.6350255760049301,224
48,209,0.5802041266884874,137
47,59,0.5865442247813746,31
46,1230,0.5843806594535762,1184
45,158,0.8693458964571333,2
44,677,0.2838927394637733,1
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,0.8114201242180941,2
38.0,32.0,,
37,3,0.43181175006040756,1
36,17,0.6403233857164757,5
35,19,2.8646510503621303,14
34,17,0.4730791693637067,1
33,62,0.8422040726558555,7
32,7,0.4292095873728617,3
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
