Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,50,,
55,146,0.08416373781488867,139
54,76,0.10871386610055728,57
53,37,0.1409679425106708,24
52,23,0.1293130406808404,17
51,119,0.1136432875049621,104
50,84,0.15559162490103295,69
49,133,0.14870742565551828,100
48,153,0.1575808510595715,119
47,212,0.10258801791996623,186
46,172,0.08602284421103358,117
45,50,0.1027227976128654,23
44,1211,0.07459280208346163,1197
43,148,0.12553467719565825,4
42,605,,
41,74,,
40,1,,
39,3,,
38,1,,
37,7,0.07199160081251292,3
36,26,,
35,5,0.37190446508339603,2
34,13,,
33,16,0.8051333421802869,2
32,12,0.12995295721785016,1
31,55,0.049806407336253446,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
