Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,54,0.21744101127421592,52
55,145,0.08219996626447994,140
54,76,0.09214422310195475,58
53,33,0.10424951169885463,21
52,28,0.09007468522314574,19
51,115,0.11588029129418895,102
50,83,0.15124507249311797,66
49,137,0.15148823345260273,101
48,153,0.13521978709946808,120
47,216,0.10400011198088518,191
46,165,0.07931065531347302,115
45,53,0.1179484066323826,24
44,1215,0.076191909076897,1202
43,142,0.13104486592261141,3
42,608,0.0837150542690601,607
41,72,,
40,1,,
39,3,,
38,1,,
37,6,0.02411512979962538,2
36,24,0.13295254838855827,23
35,8,0.24951948259520673,2
34,13,,
33,16,0.8304160462392618,2
32,12,0.1489022868134775,1
31,51,0.05538003701899926,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
