Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,50,,
55,147,0.15460714285714286,140
54,76,0.1691510956344489,58
53,37,0.19721449758991466,25
52,23,0.28849439471066346,18
51,120,0.15941143798737165,106
50,81,0.19564261465798138,68
49,136,0.23993955032816053,102
48,150,0.27635078216825765,118
47,195,0.18407346785599893,168
46,196,0.2033136708609813,123
45,46,0.1930909519373748,25
44,1211,0.1497908872029307,1199
43,145,0.10725191736036847,3
42,608,0.15787441950542833,607
41,72,,
40,1,,
39,3,,
38,1,,
37,7,0.06873161626037305,3
36,27,,
35,4,0.19427125231637365,2
34,13,,
33,16,1.540845008157783,2
32,12,0.2749308313508081,1
31,55,0.14255372750005998,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
