Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,55,0.1364976629943333,54
55,139,0.12411626955028629,136
54,74,0.4319801241259399,52
53,43,0.08976231530159712,25
52,25,0.2501775810401887,20
51,116,0.5138920308799984,104
50,85,108655699.92890064,70
49,134,5.360871049926807,102
48,154,0.21260581580364218,122
47,201,0.4033276688349515,178
46,173,0.27284940361895005,110
45,57,0.1789838184958896,23
44,1239,0.14656343125147636,1225
43,120,0.10431298057558047,4
42,594,,
41,85,,
40,1,,
39,3,,
38,1,,
37,6,0.14157331834955356,2
36,25,0.1986056102893684,24
35,6,0.24654997294460212,1
34,14,,
33,15,1.8360427174208866,1
32,13,0.29848547539242265,1
31,53,0.142608500969095,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
