Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,48,,
55,147,0.0861362393506724,138
54,73,0.09344719065018206,53
53,35,0.10335117190070066,18
52,29,0.10016951468466585,17
51,117,0.11847720160707849,102
50,84,0.15184847093876017,67
49,142,0.15410744702945228,107
48,143,0.12395031195996276,116
47,222,0.09326090589108386,193
46,166,0.08499818921472434,118
45,50,0.09845132711560052,24
44,1213,0.07370474511569426,1200
43,145,0.1088823981940743,4
42,611,,
41,68,,
39,4,,
38,1,,
37,6,0.04361253505583029,2
36,29,0.11058559003898356,28
35,3,0.31191723621907297,2
34,13,,
33,15,1.3515231615472874,1
32,13,0.12243506548076954,1
31,51,0.055772721708322925,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
