Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,52,,
55,150,0.08544433207738138,145
54,69,0.09438870239449991,56
53,37,0.09962129670202848,23
52,25,0.09564367457551921,18
51,118,0.11946831084927563,104
50,80,0.17388174953186974,65
49,138,0.165833550709211,101
48,147,0.11191516733211969,114
47,208,0.09502605496670806,177
46,182,0.09243498425286253,118
45,51,0.11260490427134723,25
44,1218,0.07678655583376279,1206
43,137,0.028795387142387163,2
42,608,0.06235967855384074,606
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.021153903866912554,3
36,25,,
35,6,0.2916011454232077,2
34,13,,
33,16,1.00447636955793,2
32,12,0.11474865691458813,1
31,55,0.044367783682952515,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
