Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,52,,
55,151,0.08487785654661661,146
54,66,0.11748360771103505,54
53,40,0.14369737290697954,24
52,26,0.15603845085250173,20
51,110,0.10818443904563142,98
50,89,0.135796767554132,68
49,139,0.1665487107703524,105
48,144,0.1458336540092279,115
47,206,0.10531117907150281,176
46,181,0.08108975953015979,116
45,53,0.08363322737906102,25
44,1215,0.06958001739670984,1203
43,142,0.10658863477679303,4
42,609,,
41,70,,
40,1,,
39,3,,
38,1,,
37,7,0.03596373562214842,3
36,25,,
35,6,0.31470155343666484,2
34,13,,
33,16,0.6674414329639617,2
32,12,0.10501675140484057,1
31,52,0.04874947758135725,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
