Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,50,,
55,142,0.14791799067899034,135
54,79,0.20666331854457634,56
53,36,0.08466255430767129,22
52,27,0.2760814352880085,19
51,117,0.17460357145460043,104
50,85,119170501.33103229,70
49,136,9.389419364171674,104
48,145,5.855840231692329,115
47,214,1.922633367249168,184
46,182,1.378637188315003,125
45,41,0.6457546278407039,22
44,1213,0.7506068453965274,1198
43,146,0.38394218453732104,3
42,613,0.8167628791486345,612
41,67,,
40,1,,
39,3,,
38,1,,
37,7,0.24508604755006047,3
36,23,,
35,8,0.603033396638923,2
34,13,,
33,15,0.9911775262484901,1
32,13,0.3326280629619154,1
31,51,1.1118937303771528,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
