Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,54,0.43247777664190384,52
55,148,0.14339123498843714,143
54,70,0.09006692198561106,55
53,37,0.16883438901475767,22
52,26,0.0982021523676778,18
51,119,0.16807463583439575,105
50,84,0.17612540764819679,70
49,138,0.19320257894886836,106
48,143,0.09862744452256901,115
47,214,0.13771951675262237,184
46,175,0.0854228340788935,118
45,53,0.1280363573356849,27
44,1202,0.06971266131137178,1192
43,153,0.04979439058423352,4
42,607,,
41,72,,
40,1,,
39,3,,
38,1,,
37,6,0.06786909035055899,2
36,27,0.047467994735824456,26
35,3,,
34,15,,
33,16,0.4694541554864118,2
32,12,0.03014879692977601,1
31,53,0.04612322323768147,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
