Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,50,0.2741666666666668,48
55,148,0.09525179856115111,139
54,78,0.06372881355932203,59
53,33,0.04954545454545444,22
52,25,0.0670588235294119,17
51,113,0.09051020408163263,98
50,89,0.1642647058823529,68
49,140,0.11537735849056598,106
48,149,0.07396694214876032,121
47,205,0.08878453038674035,181
46,175,0.032869565217391344,115
45,56,0.05666666666666661,27
44,1220,0.04641322314049587,1210
43,135,0.004999999999999893,4
42,600,,
41,79,,
40,1,,
39,3,,
38,1,,
37,7,0.029999999999999954,3
36,26,,
35,4,0.10000000000000142,1
34,14,,
33,15,1.2000000000000002,1
32,13,0.009999999999999787,1
31,55,0.019642857142857073,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
