Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,54,0.21185110664760287,53
55,136,0.08383135690068966,132
54,82,0.1195365550158249,56
53,36,0.14596720553301223,22
52,27,0.14524618433596342,19
51,116,0.11537622105652923,103
50,85,0.14894783606153988,69
49,140,0.15823526561730436,107
48,144,0.14941296794568823,117
47,207,0.10231044921777563,179
46,186,0.08376009860406697,124
45,44,0.08528977407310907,24
44,1223,0.07349460455570055,1210
43,135,0.10164614025381757,4
42,597,,
41,82,,
40,1,,
39,3,,
38,1,,
37,7,0.046911454576770296,3
36,26,,
35,5,0.32850709042031845,2
34,13,,
33,15,1.1517685529063604,1
32,13,0.11889717120512255,1
31,52,0.05418854223639677,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
