Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,51,,
55,149,0.07321678321678318,143
54,66,0.06509803921568617,51
53,43,0.054583333333332984,24
52,26,0.08599999999999994,20
51,115,0.07990291262135915,103
50,87,0.15042253521126758,71
49,138,0.11775700934579439,107
48,141,0.06394736842105246,114
47,210,0.07620111731843568,179
46,180,0.0453389830508474,118
45,53,0.06703703703703699,27
44,1206,0.037658862876254195,1196
43,148,0.006666666666666821,3
42,610,0.03597701149425287,609
41,70,,
40,1,,
39,3,,
38,1,,
37,6,0.009999999999999787,2
36,23,0.02363636363636362,22
35,9,0.1200000000000001,2
34,13,,
33,16,0.5,2
32,12,0.009999999999999787,1
31,55,0.012142857142857075,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
