Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,55,0.2971382117134933,54
55,143,0.08203449742670527,140
54,75,0.06542659725987199,57
53,35,0.05805360530516626,22
52,26,0.06476075882054129,18
51,115,0.07903113174156529,101
50,86,0.18832135597845304,68
49,133,0.1284581434542155,99
48,150,0.09043767088065655,115
47,209,0.07861081238346782,179
46,182,0.04296698766425264,120
45,49,0.06811957172777952,25
44,1219,0.03492203428458735,1207
43,138,0.024877194291474947,4
42,606,,
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.02403976633039484,3
36,26,,
35,4,0.589918999012129,1
34,14,,
33,16,0.5177240719523521,2
32,12,0.056225079663638766,1
31,53,0.020110668217341275,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
