Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,48,,
55,149,0.12538085654906225,140
54,73,0.3959549218150363,55
53,37,0.07043105863754384,22
52,28,0.2166805966282264,20
51,114,0.08837084928792263,102
50,87,26231318.69024333,70
49,134,23.30599392278682,102
48,149,0.16767653346828035,117
47,204,21.8566592006426,176
46,183,217.66928698634933,118
45,53,61.2097242568715,27
44,1214,24.11073546595419,1204
43,141,15.787321723614376,4
42,612,,
41,67,,
40,1,,
39,3,,
38,1,,
37,6,9.103789059424905,2
36,23,18.28527933746063,22
35,9,0.45925011200024835,2
34,13,,
33,16,1.8077127520384848,2
32,12,3.961275335126378,1
31,54,2.0825340017974217,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
