Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,49,0.1998910393244623,48
55,146,0.09130797467604047,137
54,76,0.09570819269983458,55
53,39,0.10084497145200814,24
52,26,0.09264028453843634,20
51,115,0.11488074072782556,103
50,84,0.1534635481735546,68
49,136,0.15346136248712833,102
48,154,0.12523605211757613,122
47,204,0.09994970106845831,181
46,179,0.08729259999776007,119
45,51,0.10087158089259085,26
44,1197,0.08053375656854463,1186
43,158,0.07252630913131301,3
42,625,0.08618491493496098,624
41,55,,
40,1,,
39,3,,
38,1,,
37,7,0.03865538083285772,3
36,24,,
35,7,0.2963828287118422,2
34,13,,
33,16,0.9789891261884662,2
32,12,0.13345586599627968,1
31,51,0.06667095387466933,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
