Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,51,0.13844719353634682,50
55,150,0.055867496673121776,143
54,69,0.05391436915518697,54
53,38,0.034022545172840826,22
52,27,0.044200621691847373,19
51,113,0.08225856202797285,100
50,84,0.10532389391051186,65
49,142,0.08871555467539076,105
48,148,0.06597647459977868,119
47,206,0.06409284931076113,180
46,183,0.04241846723509919,122
45,49,0.07208685489051121,27
44,1216,0.027055835151217757,1206
43,139,0.04889947314648024,4
42,598,,
41,81,,
39,4,,
38,1,,
37,7,0.05180168884194014,3
36,25,,
35,6,0.06483688109955077,2
34,13,,
33,16,0.5431174522446076,2
32,12,0.007891697594506475,1
31,55,0.02617861166658583,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
