Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,53,0.1950397719928766,52
55,151,0.08410041339658797,146
54,69,0.08937162974550272,57
53,37,0.10039831437661802,24
52,25,0.08645394868996237,19
51,118,0.11745918864125811,105
50,82,0.1645977529966532,68
49,139,0.15395533427785335,105
48,150,0.12975359894221042,121
47,209,0.10749390791468523,185
46,167,0.08837591328699976,111
45,61,0.10785858759655467,28
44,1196,0.08688770223675406,1187
43,158,0.130052847387784,4
42,603,,
41,76,,
40,1,,
39,3,,
38,1,,
37,7,0.029676225075161433,3
36,27,,
35,3,0.34755432919170914,1
34,14,,
33,16,0.935955786087135,2
32,12,0.1150707655877854,1
31,52,0.06480419667881865,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
