Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,53,,
55,146,0.13182031231709346,142
54,73,0.20594365382910165,57
53,34,0.14534148102892303,21
52,27,0.20335573111505562,18
51,113,0.21327794400485925,99
50,91,34997637.5016874,71
49,133,2.6760323421716152,102
48,152,5.104685863249494,120
47,207,65.80802691656397,182
46,178,26510.33094144974,119
45,50,533004.9331782626,25
44,1203,4532772.583855839,1191
43,154,2601985.7236137968,4
42,610,,
41,69,,
40,1,,
39,3,,
38,1,,
37,7,271909.02872883313,3
36,27,,
35,3,24188635.96718316,1
34,14,,
33,15,1433280802.699981,1
32,13,1355231.3386739455,1
31,53,34872768.50464515,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
