Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,52,,
55,150,0.10444052031912253,145
54,70,0.136544842458941,57
53,37,0.11339855332377512,24
52,24,0.19584666562503197,18
51,110,0.1354790509647135,96
50,94,0.1673246661300294,71
49,133,0.1348555127598869,102
48,150,0.12587414855173223,118
47,207,0.09177812131675035,180
46,180,0.090091227757512,119
45,52,0.11180474093552235,27
44,1203,0.0727292282979194,1193
43,151,0.0556910814073488,3
42,611,0.08897650205571495,610
41,69,,
40,1,,
39,3,,
38,1,,
37,7,0.056067764380343256,3
36,26,,
35,5,0.356653185480841,2
34,13,,
33,15,0.31023448804559317,1
32,12,,
31,54,0.03954686145934172,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
