Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,49,,
55,149,0.05614129397535969,141
54,69,0.05514880728098764,52
53,41,0.03531703956912607,23
52,23,0.045924137442727136,16
51,120,0.0775305773002909,104
50,82,0.08934137118681142,67
49,142,0.08665938944148897,107
48,144,0.07080785947385065,117
47,211,0.06286542306660453,183
46,175,0.040317683065758676,117
45,50,0.0667041432056814,23
44,1207,0.02589772986320444,1193
43,152,0.05307896921377098,4
42,618,,
41,61,,
40,1,,
39,3,,
38,1,,
37,7,0.05403141959433485,3
36,25,,
35,5,0.07476154669525492,1
34,14,,
33,15,0.18864888347366726,1
32,13,0.007958973232624622,1
31,55,0.027129742043377276,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
