Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,54,,
55,144,0.13774024108160507,141
54,71,0.09901635655302107,54
53,41,0.13058404998013085,25
52,25,0.18898655074701567,20
51,113,0.13552556283240014,101
50,82,0.2618796448869376,64
49,141,0.13815480145517686,103
48,153,0.12156824294428588,122
47,203,0.10992636051294098,180
46,180,0.08611446053828713,119
45,52,0.09886159794921355,27
44,1214,0.05978897622378797,1204
43,141,0.0751203018237745,4
42,597,,
41,82,,
40,1,,
39,3,,
38,1,,
37,7,0.061370065805674244,3
36,25,,
35,6,0.46859217297485944,2
34,13,,
33,16,0.7100752341366063,2
32,12,0.042339469996474755,1
31,52,0.03969188531286715,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
