Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,48,,
55,151,0.07762865486332196,142
54,72,0.06941755474331673,56
53,36,0.06064057164646405,22
52,25,0.0684559520252637,17
51,116,0.07302518974925934,101
50,88,0.15369401044070086,70
49,130,0.0989974235898802,98
48,154,0.07585770776753181,118
47,203,0.07001876421592622,176
46,184,0.0345150248945523,119
45,51,0.08334868036093926,26
44,1210,0.029339664278239298,1199
43,146,0.04217881356511244,4
42,621,,
41,58,,
40,1,,
39,3,,
38,1,,
37,6,0.03772636898196913,2
36,25,0.05323052321749792,24
35,7,0.23966496916144653,2
34,13,,
33,16,0.5190984446916838,2
32,12,0.03372212928872198,1
31,52,0.02505179307025543,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
