Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
58,65,,
57,169,3.4485431456576126,162
56,89,3.461650287811709,72
55,54,3.4651077096132683,31
54,33,3.5211915873444046,22
53,140,5.269589445992778,122
52,149,6930998.258355808,127
51,212,3.4056343210449302,157
50,200,3.284157094612843,164
49,260,3.3881556045935537,221
48,205,3.609890970716508,136
47,51,3.688406500839504,27
46,1235,3.7457986155848166,1220
45,156,3.4617170432141666,5
44,601,3.6092478838148643,600
43,80,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,3.5386111857130067,2
38,28,3.556104044396328,27
37,8,3.7146308694736434,2
36,17,2.9946170369769174,1
35,22,3.2455081265183554,5
34,14,3.3050148800401784,1
33,58,3.6184112110600886,25
32,11,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,2.0,,
19.0,1.0,,
18.0,1.0,,
