Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,54,,
55,147,0.15542824074074074,144
54,69,0.16555059288537546,55
53,37,0.19826946688052535,22
52,27,0.273395835829919,19
51,115,0.16399812390337085,102
50,84,0.2018140173868079,67
49,140,0.2303030563644918,105
48,141,0.2626958745564072,112
47,213,0.19099287196353876,180
46,173,0.21893466350018517,112
45,56,0.18975705796695228,24
44,1217,0.1517826315063524,1204
43,141,0.10852663226377168,4
42,612,,
41,67,,
40,1,,
39,3,,
38,1,,
37,6,0.054999999999999716,2
36,27,0.2116516241021653,26
35,5,0.19345907345362612,2
34,13,,
33,16,1.5416567009769269,2
32,12,0.27574204259604507,1
31,51,0.16008639943937963,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
