Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,55,0.43397834802834534,53
55,145,0.1612098409746738,141
54,76,0.09468823982900729,59
53,30,0.1738733000432944,19
52,29,0.15770514517781112,18
51,113,0.11252447766438903,99
50,89,0.1648329456096917,69
49,138,0.14985626179691686,105
48,152,0.13891197614810752,123
47,202,0.1050208808934814,180
46,174,0.08292342968455166,113
45,56,0.10824618617634617,25
44,1215,0.07875149502251139,1203
43,142,0.09805939717849776,4
42,606,,
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.05131311379867842,3
36,25,,
35,6,0.5582449584478055,2
34,13,,
33,16,0.5811040238618499,2
32,12,0.03564844884567808,1
31,52,0.03861463488235813,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
