Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,48,,
55,150,0.05729228108521011,142
54,73,0.029646118234832132,57
53,37,0.029557393906011527,31
52,25,0.02556147142430995,23
51,118,0.016954014804896507,116
50,83,0.3457683003937154,74
49,131,0.03823281127863374,123
48,154,0.017949125349583542,135
47,209,0.013094692075297051,195
46,171,0.008670630385656174,151
45,55,0.0166606010179276,35
44,1222,0.010927493395044046,1216
43,138,0.015122499751606582,11
42,603,,
41,76,0.014403969593359447,4
40,1,,
39,3,,
38,1,,
37,7,0.013137283968990601,5
36,28,,
35,3,,
34,12,,
33,16,0.020238335942473828,15
32,12,0.018323727878856798,9
31,53,0.01066770163003804,23
30,9,0.013298657393094082,5
29,7,,
28,6,0.020433585446660678,4
27,13,,
26,5,,
25,56,0.05447639512852261,55
24,12,,
23,1,,
22,2,,
19,1,,
16,1,,
