Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,0.11671607843137255,51
55,144,0.45568350444461697,139
54,77,0.43606029196378,58
53,34,0.4527871451909514,29
52,27,0.46630255630450906,23
51,117,0.4470451670461016,115
50,79,0.5702731089599495,69
49,141,0.3240720171205901,128
48,151,0.3424056302313996,137
47,208,0.35454674200754,196
46,169,0.4042700769727999,150
45,58,0.3959315691171005,37
44,1210,0.3869359250912269,1206
43,147,0.3943812138603277,10
42,602,0.4101791235521372,601
41,78,0.5812806084814761,4
40,1,,
39,2,,
38,2,0.3236896307087823,1
37,7,0.3668753752072929,5
36,28,,
35,3,,
34,12,,
33,16,0.27001772685059944,15
32,12,0.41025303367347105,9
31,55,0.3036095542750751,25
30,7,0.2522325415692189,5
29,9,,
28,4,,
27,12,,
26,6,0.7904330875649438,5
25,64,0.3600500191213046,63
24,4,,
23,3,,
19,1,,
16,1,,
