Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,0.11963488,50
55,148,0.1250277750503018,142
54,71,0.08614471028464475,55
53,38,0.08318858445083321,30
52,26,0.06184480446817847,23
51,113,0.06040439873033594,111
50,95,1.181439746682602,81
49,126,0.8493621394676938,125
48,152,0.5406960707745652,135
47,211,0.7428988257225665,197
46,168,0.42239019964916485,150
45,59,0.5231277125224972,38
44,1197,0.3341940926902148,1194
43,160,0.2979130464563658,11
42,614,,
41,65,1.0140425499999999,4
40,1,,
39,2,,
38,2,0.23247692581173848,1
37,7,0.1273833381276342,5
36,28,,
35,3,,
34,13,,
33,13,,
32,14,0.8048150124758959,9
31,54,0.6030904711324862,24
30,6,0.13948715123940084,3
29,11,0.42105270439667786,9
28,4,,
27,13,,
26,6,,
25,60,,
24,7,,
23,1,,
22,2,,
19,1,,
16,1,,
