Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,0.111505816,50
55,146,0.05052858257142857,140
54,78,0.05754329878333333,60
53,33,0.034547627930000005,30
52,25,0.02017603077272728,22
51,110,0.023373801755140186,107
50,93,0.9073067563706667,75
49,139,0.2568710330278788,132
48,147,0.18693147512443795,137
47,205,0.12340570916683938,193
46,177,0.04740477689956129,155
45,52,0.07060115037804442,36
44,1207,0.06253692151718802,1202
43,150,0.07476682904444443,9
42,606,0.03055400579039735,604
41,75,0.06890230999999986,4
40,1,,
39,3,,
38,1,,
37,6,0.06977149675000001,4
36,29,,
35,3,,
34,11,,
33,18,0.3891686785374999,16
32,11,0.23083470105688886,9
31,55,0.13812352716672,25
30,7,0.24419635475999996,5
29,8,,
28,4,0.07510799999999994,3
27,13,0.13600102662733338,12
26,6,1.1510991360464,5
25,63,0.5200668158486194,62
24,5,,
23,3,,
19,1,,
16,1,,
