Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,49,,
55,150,0.0947265995995639,143
54,67,0.047901436102695025,52
53,39,0.08768988901857969,28
52,29,0.07853695691205413,24
51,115,0.05484344490048344,114
50,85,0.1508507369236485,74
49,133,0.06963699231764517,125
48,151,0.06443222945548625,134
47,209,0.03882164838236903,194
46,179,0.0367495956537251,158
45,50,0.04150848268031139,37
44,1225,0.03030886610312402,1221
43,132,0.03474063833462343,10
42,599,0.020956185784224035,598
41,81,0.10383337325428196,4
40,1,,
39,3,,
38,1,,
37,6,0.23239320710334255,4
36,29,,
35,3,,
34,11,,
33,13,0.10098302452988482,11
32,15,0.08204890980466002,8
31,55,0.02758049333984993,24
30,7,0.06565253516417788,4
29,8,0.07223713745981332,7
28,6,0.032280715836978745,4
27,11,,
26,7,0.21010190438279716,5
25,62,0.10257779691218588,61
24,6,,
23,3,,
19,1,,
16,1,,
