Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,0.340585444622337,50
55,145,0.2567390811037753,139
54,75,0.2112325841900629,56
53,39,0.1277329481573108,32
52,26,0.20505229528735264,25
51,113,,
50,87,0.2302440212597112,75
49,133,0.16458525198734011,126
48,150,0.16364484722769804,134
47,212,0.11516594077554625,197
46,173,0.088263450536651,155
45,51,0.1237145615776703,35
44,1208,0.108218292703573,1202
43,151,0.09228673476046344,10
42,611,0.06886159010737071,610
41,66,0.29107033340055877,1
40,3,,
39,3,0.03279387280808775,2
38,2,0.07888101683321658,1
37,5,0.13066892755648019,3
36,30,,
35,3,,
34,12,,
33,15,0.13936185234360401,14
32,13,0.25295921771840507,9
31,54,0.049218066692980005,24
30,8,0.11599635949769853,5
29,8,,
28,5,0.0586097374567075,4
27,12,,
26,6,0.48137809649677216,5
25,65,0.1301918952027158,64
24,3,,
23,2,,
22,1,,
19,1,,
16,1,,
