Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,0.12153323120259205,50
55,150,0.01034684796793964,144
54,76,0.058810691526971104,62
53,26,0.002407940392396281,25
52,28,0.005501562104038466,20
51,112,0.01593216853530684,107
50,93,672219.2116893905,75
49,136,0.12295241016607154,129
48,154,0.05801386237995952,141
47,204,0.027526785772083808,196
46,175,1.6876335617304927,156
45,49,0.6333018243393654,34
44,1192,0.858624204540342,1185
43,168,0.49476877630534505,10
42,622,0.5691309597710944,621
41,58,1.2649007235621472,4
40,1,,
39,2,,
38,2,0.35776389846488715,1
37,7,0.8429331487232685,5
36,28,,
35,3,,
34,13,,
33,14,,
32,13,1.7527691928166602,9
31,55,0.7677062517223658,25
30,6,0.7605637759400701,4
29,10,0.4258892251036256,9
28,4,,
27,12,,
26,7,2.02530223699029,6
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
