Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,50,,
55,150,0.1250585845734127,144
54,71,0.09044670583356448,57
53,39,0.08507330404784318,33
52,21,,
51,118,0.0607392267224721,114
50,80,1.2537517568569334,69
49,139,0.8411501661708984,126
48,157,0.5462759389591156,141
47,204,0.7236073576014024,196
46,171,0.4115409408813782,152
45,54,0.5204715587949227,35
44,1218,0.3274354610639042,1212
43,141,0.23164487632307115,10
42,602,0.18414478564685577,601
41,76,0.9845602499999999,2
40,2,,
39,4,0.14538343049934355,3
38,1,,
37,5,0.09882736682238712,3
36,30,,
35,3,,
34,11,,
33,14,1.4788304338484473,12
32,14,0.3809677823171501,8
31,54,0.6052509997050718,23
30,8,0.150308025160875,4
29,10,0.4176336253860808,9
28,4,,
27,13,,
26,6,,
25,61,,
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
