Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,50,0.11977632653061224,49
55,154,0.48887857639371124,147
54,70,0.4582589512401912,59
53,32,0.47444766735298277,28
52,29,0.4959156259617142,24
51,108,0.47302480250689155,107
50,96,0.620912026448295,78
49,130,0.3730661113398095,126
48,150,0.38248161773687483,134
47,210,0.39020187843236903,195
46,178,0.40766854086673826,158
45,50,0.3817523066461178,37
44,1198,0.391341854657316,1194
43,158,0.3692443838819961,9
42,611,0.40433804874159485,609
41,70,0.47266444728424034,4
40,1,,
39,3,,
38,1,,
37,7,0.3009969449503196,5
36,28,,
35,2,,
34,13,0.3861463243253826,12
33,15,0.44954318712532515,14
32,13,0.28146847352937293,9
31,54,0.2696089347230836,24
30,6,0.2763070302859322,3
29,11,0.3633958206359749,9
28,4,,
27,12,,
26,7,0.6879298652612076,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
