Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,53,0.13225096153846153,52
55,148,0.4556774622606682,144
54,67,0.4441692129711494,53
53,38,0.4551558749918487,28
52,29,0.47182577215661864,24
51,113,0.4549551158695071,112
50,85,0.6005160390862232,72
49,146,0.3298035383316569,136
48,141,0.34782185039637525,135
47,207,0.3568864073597898,193
46,172,0.4213696944612971,150
45,57,0.4106609320678831,36
44,1202,0.40220044800208665,1197
43,156,0.40700251693609985,10
42,608,0.41978707229117446,607
41,71,0.6465245249230493,3
40,2,0.4821911697814334,1
39,3,,
38,1,,
37,5,0.37615707959218825,3
36,30,,
35,3,,
34,13,,
33,16,,
32,10,0.36256514385369776,8
31,57,0.3144493415382056,26
30,6,0.25516334769831783,5
29,9,,
28,4,,
27,12,,
26,7,0.8400889667160358,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
