Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,0.4542272043051506,51
55,146,0.14349069826345198,141
54,77,0.23725882274266913,60
53,33,0.10902365284106552,30
52,26,0.14851493946422953,23
51,116,0.12162677452989366,114
50,84,0.36171198311752006,73
49,127,0.2764708423543855,118
48,157,0.10742689902732984,133
47,213,0.12270870431241745,197
46,172,0.1112872348399176,154
45,54,0.11455854742751224,37
44,1212,0.1112940881337537,1208
43,146,0.06345054256165096,11
42,605,,
41,74,0.452484721679832,4
39,4,0.019633927239952033,3
38,1,,
37,6,0.18060971273320148,4
36,29,,
35,2,,
34,13,0.1913542253364875,12
33,17,0.11738833974206724,16
32,10,0.15559501575346096,8
31,54,0.10887091089082865,23
30,8,0.14101141883399326,4
29,10,0.14238398085017953,9
28,3,,
27,12,0.23535730411370265,11
26,8,0.37030117633730303,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
