Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,0.07605354901960784,51
55,144,0.07433039035718796,139
54,76,0.07418101281504602,57
53,36,0.07057159063563966,30
52,24,0.04781153969612748,21
51,123,0.04769296871229857,119
50,81,1.1434640917815764,75
49,130,0.8530984733493505,123
48,149,0.5281378429113178,130
47,217,0.7259189563086043,198
46,172,0.4011158585723759,155
45,52,0.5146841488957998,36
44,1216,0.31937473031362956,1211
43,142,0.2984827919971134,10
42,603,0.1782256745328782,602
41,77,1.0140425499999999,4
40,1,,
39,3,,
38,1,,
37,7,0.12281669470611792,5
36,28,,
35,2,,
34,12,0.18157850589000618,11
33,16,1.4166266688780584,14
32,13,0.8065237127062596,9
31,56,0.6612749820242555,26
30,6,0.6443580964125727,5
29,9,,
28,2,,
27,14,0.6535319110446877,12
26,5,2.29065901238088,4
25,61,1.3330305143480248,59
24,8,,
23,3,,
19,1,,
16,1,,
