Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,0.5357869677644482,50
55,146,0.21152154844040563,140
54,73,0.11816828846713451,55
53,37,0.15192413920063175,29
52,28,0.22529439118825145,24
51,113,0.179174616348933,112
50,88,0.14122701088114184,75
49,140,0.15336969114974772,133
48,143,0.19161450164576133,134
47,217,0.10263099659786377,202
46,175,0.07199406633519592,162
45,46,0.15531185340764933,37
44,1198,0.060897650119789815,1194
43,157,0.0994624929817949,8
42,594,0.05368493392857331,591
41,87,0.40137608811322817,3
40,2,0.05896408177529974,1
39,3,,
38,1,,
37,6,0.48354710614853214,4
36,29,,
35,3,,
34,12,,
33,16,0.10295248071293497,15
32,12,0.16428873786857542,9
31,57,0.11175874520790947,27
30,5,,
29,7,,
28,6,0.22385211888093004,4
27,13,,
26,6,,
25,65,,
24,2,,
23,3,,
19,1,,
16,1,,
